,Player,Stat,Threshold,Percentage,Average,Avg vs. Opp,Special,abs_diff
169,Chris Paul,Blocks,0.5,6.666666666666667,0.0666666666666666,0.0,Higher 2x,6.666666666666667
40,Malik Beasley,Blocks,0.5,9.375,0.125,0.0,Higher 2.5x,9.375
83,Tre Jones,Points+Rebounds,15.5,13.79310344827586,10.827586206896552,15.0,,13.79310344827586
28,Khris Middleton,Blocks,0.5,13.79310344827586,0.2068965517241379,0.0,Higher 1.75x,13.79310344827586
79,Tre Jones,Pts+Rebs+Asts,22.5,13.79310344827586,15.724137931034482,20.0,,13.79310344827586
80,Tre Jones,Assists,7.0,13.79310344827586,4.896551724137931,5.0,,13.79310344827586
188,Brandin Podziemski,Blocks,0.5,14.814814814814811,0.1851851851851851,0.0,Higher 1.75x,14.814814814814811
194,Dario Saric,Blocks,0.5,15.151515151515152,0.1818181818181818,0.0,Higher 3x,15.151515151515152
84,Tre Jones,Points+Assists,18.5,17.24137931034483,12.862068965517242,19.0,,17.24137931034483
195,Trayce Jackson-Davis,Points,10.0,17.391304347826086,5.869565217391305,8.0,,17.391304347826086
199,Trayce Jackson-Davis,Blocks,1.5,17.391304347826086,0.7391304347826086,0.0,Higher 1.5x,17.391304347826086
20,Damian Lillard,Blocks,0.5,18.75,0.1875,0.0,Higher 2.25x,18.75
101,Jamal Murray,Points,23.0,19.047619047619047,19.666666666666668,28.0,,19.047619047619047
88,Julian Champagnie,Rebounds,3.0,19.230769230769237,1.8846153846153848,0.0,,19.230769230769237
78,Tre Jones,Points,11.5,20.689655172413797,7.9655172413793105,14.0,,20.689655172413797
191,Dario Saric,Pts+Rebs+Asts,13.5,78.78787878787878,17.96969696969697,17.5,,21.212121212121218
67,Devin Vassell,Blocks,0.5,21.428571428571427,0.2142857142857142,0.0,Higher 1.5x,21.428571428571427
197,Trayce Jackson-Davis,Rebounds,6.0,21.73913043478261,3.9565217391304346,2.5,,21.73913043478261
57,Keldon Johnson,Blocks,0.5,22.58064516129032,0.2258064516129032,0.0,Higher 2.5x,22.58064516129032
100,Nikola Jokic,Blocks+Steals,2.0,23.52941176470588,2.0,2.0,,23.52941176470588
