Player,Stat,Threshold,Percentage,Average,Avg vs. Opp,Special
Giannis Antetokounmpo,Points,31.5,54.54545454545454,30.757575757575758,11.0,nan
Giannis Antetokounmpo,Pts+Rebs+Asts,50.5,39.39393939393939,47.84848484848485,41.0,nan
Giannis Antetokounmpo,Assists,6.0,33.33333333333333,5.787878787878788,16.0,nan
Giannis Antetokounmpo,Rebounds,12.5,33.33333333333333,11.303030303030303,14.0,nan
Giannis Antetokounmpo,Rebounds+Assists,18.5,33.33333333333333,17.09090909090909,30.0,nan
Giannis Antetokounmpo,Points+Rebounds,44.5,39.39393939393939,42.06060606060606,25.0,nan
Giannis Antetokounmpo,Points+Assists,37.5,51.515151515151516,36.54545454545455,27.0,nan
Giannis Antetokounmpo,Steals,1.5,39.39393939393939,1.3636363636363635,2.0,Higher 1.25x
Giannis Antetokounmpo,Blocks+Steals,2.5,51.515151515151516,2.5757575757575757,3.0,nan
Giannis Antetokounmpo,Turnovers,3.0,48.484848484848484,3.727272727272727,3.0,nan
Giannis Antetokounmpo,Blocks,1.5,36.36363636363637,1.2121212121212122,1.0,Higher 1.5x
Damian Lillard,Points,25.5,50.0,25.375,40.0,nan
Damian Lillard,Pts+Rebs+Asts,36.5,59.375,36.5,47.0,nan
Damian Lillard,Assists,7.0,31.25,6.71875,4.0,nan
Damian Lillard,Rebounds,4.5,46.875,4.40625,3.0,nan
Damian Lillard,Rebounds+Assists,11.5,46.875,11.125,7.0,nan
Damian Lillard,Points+Assists,32.5,46.875,32.09375,44.0,nan
Damian Lillard,Points+Rebounds,29.5,59.375,29.78125,43.0,nan
Damian Lillard,Turnovers,2.5,53.125,2.71875,1.0,nan
Damian Lillard,Blocks+Steals,1.5,37.5,1.21875,3.0,Higher 1.25x
Damian Lillard,Blocks,0.5,18.75,0.1875,0.0,Higher 2.25x
Khris Middleton,Points,16.5,37.93103448275862,14.655172413793103,17.0,nan
Khris Middleton,Pts+Rebs+Asts,26.5,37.93103448275862,24.03448275862069,24.0,nan
Khris Middleton,Assists,5.5,37.93103448275862,4.827586206896552,4.0,nan
Khris Middleton,Rebounds,5.0,31.03448275862069,4.551724137931035,3.0,nan
Khris Middleton,Rebounds+Assists,10.5,34.48275862068966,9.379310344827585,7.0,nan
Khris Middleton,Points+Assists,21.5,34.48275862068966,19.482758620689655,21.0,nan
Khris Middleton,Points+Rebounds,21.5,37.93103448275862,19.20689655172414,20.0,nan
Khris Middleton,Blocks,0.5,13.793103448275861,0.20689655172413793,0.0,Higher 1.75x
Khris Middleton,Blocks+Steals,1.5,24.137931034482758,1.0,1.0,Higher 1.25x
Brook Lopez,Points,13.5,41.17647058823529,12.911764705882353,14.0,nan
Brook Lopez,Pts+Rebs+Asts,20.5,44.11764705882353,19.323529411764707,20.0,nan
Brook Lopez,Rebounds,5.5,47.05882352941176,5.0588235294117645,5.0,nan
Brook Lopez,Rebounds+Assists,6.5,44.11764705882353,6.411764705882353,6.0,nan
Brook Lopez,3-PointersMade,1.5,50.0,1.6470588235294117,0.0,nan
Brook Lopez,Points+Rebounds,19.5,38.23529411764706,17.970588235294116,19.0,nan
Brook Lopez,Steals,0.5,44.11764705882353,0.6764705882352942,0.0,nan
Brook Lopez,Blocks,2.5,55.88235294117647,2.9705882352941178,6.0,nan
Malik Beasley,Points,9.5,53.125,11.65625,7.0,nan
Malik Beasley,Pts+Rebs+Asts,15.5,56.25,17.25,13.0,nan
Malik Beasley,Blocks,0.5,9.375,0.125,0.0,Higher 2.5x
Victor Wembanyama,Points,19.5,48.275862068965516,18.896551724137932,,nan
Victor Wembanyama,Pts+Rebs+Asts,31.5,58.620689655172406,31.96551724137931,,nan
Victor Wembanyama,Rebounds,9.0,51.724137931034484,10.172413793103448,,nan
Victor Wembanyama,Rebounds+Assists,11.5,58.620689655172406,13.068965517241379,,nan
Victor Wembanyama,3-PointersMade,1.5,51.724137931034484,1.4482758620689655,,nan
Victor Wembanyama,Points+Assists,22.5,48.275862068965516,21.79310344827586,,nan
Victor Wembanyama,Points+Rebounds,28.5,55.172413793103445,29.06896551724138,,nan
Victor Wembanyama,Blocks,2.0,55.172413793103445,3.1379310344827585,,nan
Keldon Johnson,Points,19.5,48.38709677419355,17.64516129032258,28.0,nan
Keldon Johnson,Pts+Rebs+Asts,29.5,41.935483870967744,27.838709677419356,41.0,nan
Keldon Johnson,Rebounds,6.0,45.16129032258064,6.258064516129032,12.0,nan
Keldon Johnson,Rebounds+Assists,9.5,48.38709677419355,10.193548387096774,13.0,nan
Keldon Johnson,3-PointersMade,2.5,35.483870967741936,1.903225806451613,0.0,Higher 1.25x
Keldon Johnson,Points+Rebounds,25.5,41.935483870967744,23.903225806451612,40.0,nan
Keldon Johnson,Points+Assists,23.5,48.38709677419355,21.580645161290324,29.0,nan
Keldon Johnson,Turnovers,1.5,51.61290322580645,1.7741935483870968,5.0,nan
Keldon Johnson,Blocks,0.5,22.58064516129032,0.22580645161290322,0.0,Higher 2.5x
Devin Vassell,Points,19.5,39.285714285714285,18.071428571428573,17.0,nan
Devin Vassell,Pts+Rebs+Asts,27.5,35.714285714285715,24.464285714285715,22.0,nan
Devin Vassell,Assists,3.5,39.285714285714285,3.0357142857142856,2.0,nan
Devin Vassell,Rebounds,3.5,46.42857142857143,3.357142857142857,3.0,nan
Devin Vassell,Rebounds+Assists,7.0,35.714285714285715,6.392857142857143,5.0,nan
Devin Vassell,3-PointersMade,2.5,50.0,2.5357142857142856,2.0,nan
Devin Vassell,Points+Assists,23.5,35.714285714285715,21.107142857142858,19.0,nan
Devin Vassell,Points+Rebounds,23.5,42.857142857142854,21.428571428571427,20.0,nan
Devin Vassell,Steals,1.5,32.142857142857146,1.2142857142857142,0.0,Higher 1.25x
Devin Vassell,Blocks,0.5,21.428571428571427,0.21428571428571427,0.0,Higher 1.5x
Devin Vassell,Blocks+Steals,1.5,42.857142857142854,1.4285714285714286,0.0,nan
Jeremy Sochan,Points,12.0,39.39393939393939,10.878787878787879,9.0,nan
Jeremy Sochan,Pts+Rebs+Asts,21.5,42.42424242424242,20.303030303030305,28.0,nan
Jeremy Sochan,Assists,3.5,60.60606060606061,3.9696969696969697,8.0,nan
Jeremy Sochan,Rebounds,6.0,36.36363636363637,5.454545454545454,11.0,nan
Jeremy Sochan,Rebounds+Assists,9.5,42.42424242424242,9.424242424242424,19.0,nan
Jeremy Sochan,Points+Assists,15.5,42.42424242424242,14.848484848484848,17.0,nan
