Name,Position,Opposing Team,Threshold,Type
Devin Vassell,G,MIL,19.5,Points
Giannis Antetokounmpo,F,SAS,31.5,Points
Jeremy Sochan,F,MIL,12.0,Points
Brook Lopez,C,SAS,13.5,Points
Victor Wembanyama,F-C,MIL,19.5,Points
Damian Lillard,G,SAS,25.5,Points
Keldon Johnson,G-F,MIL,19.5,Points
Malik Beasley,G,SAS,9.5,Points
Tre Jones,G,MIL,11.5,Points
Chris Paul,G,DEN,10.5,Points
Aaron Gordon,F,GSW,14.0,Points
Jonathan Kuminga,F,DEN,13.5,Points
Jamal Murray,G,GSW,23.0,Points
Klay Thompson,G,DEN,15.5,Points
Kentavious Caldwell-Pope,G,GSW,9.5,Points
Stephen Curry,G,DEN,27.5,Points
Michael Porter Jr.,F,GSW,16.5,Points
Trayce Jackson-Davis,F,DEN,10.0,Points
Nikola Jokic,C,GSW,26.0,Points
Andrew Wiggins,F,DEN,11.5,Points
Reggie Jackson,G,GSW,7.5,Points
Brandin Podziemski,G,DEN,9.5,Points
Dario Saric,F-C,DEN,7.5,Points
Devin Vassell,G,MIL,3.5,Rebounds
Giannis Antetokounmpo,F,SAS,12.5,Rebounds
Jeremy Sochan,F,MIL,5.5,Rebounds
Brook Lopez,C,SAS,5.5,Rebounds
Victor Wembanyama,F-C,MIL,9.0,Rebounds
Keldon Johnson,G-F,MIL,6.0,Rebounds
Tre Jones,G,MIL,3.5,Rebounds
Chris Paul,G,DEN,3.5,Rebounds
Aaron Gordon,F,GSW,6.0,Rebounds
Jonathan Kuminga,F,DEN,5.0,Rebounds
Jamal Murray,G,GSW,4.0,Rebounds
Stephen Curry,G,DEN,4.0,Rebounds
Michael Porter Jr.,F,GSW,7.0,Rebounds
Trayce Jackson-Davis,F,DEN,6.0,Rebounds
Nikola Jokic,C,GSW,13.0,Rebounds
Andrew Wiggins,F,DEN,3.5,Rebounds
Brandin Podziemski,G,DEN,5.0,Rebounds
Dario Saric,F-C,DEN,4.0,Rebounds
Christian Braun,G,GSW,2.5,Rebounds
Devin Vassell,G,MIL,27.5,Pts+Rebs+Asts
Giannis Antetokounmpo,F,SAS,50.5,Pts+Rebs+Asts
Jeremy Sochan,F,MIL,21.5,Pts+Rebs+Asts
Brook Lopez,C,SAS,20.5,Pts+Rebs+Asts
Victor Wembanyama,F-C,MIL,31.5,Pts+Rebs+Asts
Damian Lillard,G,SAS,36.5,Pts+Rebs+Asts
Keldon Johnson,G-F,MIL,29.5,Pts+Rebs+Asts
Malik Beasley,G,SAS,15.5,Pts+Rebs+Asts
Tre Jones,G,MIL,22.5,Pts+Rebs+Asts
Chris Paul,G,DEN,21.5,Pts+Rebs+Asts
Aaron Gordon,F,GSW,23.5,Pts+Rebs+Asts
Jonathan Kuminga,F,DEN,21.5,Pts+Rebs+Asts
Jamal Murray,G,GSW,32.5,Pts+Rebs+Asts
