Name,Position,Opposing Team,Threshold,Type,Special
Giannis Antetokounmpo,[],SAS,31.5,Points,
Giannis Antetokounmpo,[],SAS,50.5,Pts+Rebs+Asts,
Giannis Antetokounmpo,[],SAS,6.0,Assists,
Giannis Antetokounmpo,[],SAS,12.5,Rebounds,
Giannis Antetokounmpo,[],SAS,18.5,Rebounds+Assists,
Giannis Antetokounmpo,[],SAS,44.5,Points+Rebounds,
Giannis Antetokounmpo,[],SAS,37.5,Points+Assists,
Giannis Antetokounmpo,[],SAS,1.5,Steals,Higher 1.25x
Giannis Antetokounmpo,[],SAS,60.25,FantasyPoints,
Giannis Antetokounmpo,[],SAS,2.5,Blocks+Steals,
Giannis Antetokounmpo,[],SAS,3.0,Turnovers,
Giannis Antetokounmpo,[],SAS,1.5,Blocks,Higher 1.5x
Giannis Antetokounmpo,[],SAS,7.5,FTMade,
Damian Lillard,[],SAS,0.5,DoubleDoubles,Higher 2.5x
Damian Lillard,[],SAS,25.5,Points,
Damian Lillard,[],SAS,36.5,Pts+Rebs+Asts,
Damian Lillard,[],SAS,7.0,Assists,
Damian Lillard,[],SAS,4.5,Rebounds,
Damian Lillard,[],SAS,11.5,Rebounds+Assists,
Damian Lillard,[],SAS,32.5,Points+Assists,
Damian Lillard,[],SAS,29.5,Points+Rebounds,
Damian Lillard,[],SAS,41.55,FantasyPoints,
Damian Lillard,[],SAS,2.5,Turnovers,
Damian Lillard,[],SAS,1.5,Blocks+Steals,Higher 1.25x
Damian Lillard,[],SAS,0.5,Blocks,Higher 2.25x
Damian Lillard,[],SAS,7.5,FTMade,
Khris Middleton,[],SAS,16.5,Points,
Khris Middleton,[],SAS,26.5,Pts+Rebs+Asts,
Khris Middleton,[],SAS,5.5,Assists,
Khris Middleton,[],SAS,5.0,Rebounds,
Khris Middleton,[],SAS,10.5,Rebounds+Assists,
Khris Middleton,[],SAS,21.5,Points+Assists,
Khris Middleton,[],SAS,21.5,Points+Rebounds,
Khris Middleton,[],SAS,0.5,Blocks,Higher 1.75x
Khris Middleton,[],SAS,1.5,Blocks+Steals,Higher 1.25x
Brook Lopez,[],SAS,13.5,Points,
Brook Lopez,[],SAS,20.5,Pts+Rebs+Asts,
Brook Lopez,[],SAS,5.5,Rebounds,
Brook Lopez,[],SAS,6.5,Rebounds+Assists,
Brook Lopez,[],SAS,1.5,3-PointersMade,
Brook Lopez,[],SAS,19.5,Points+Rebounds,
Brook Lopez,[],SAS,0.5,Steals,
Brook Lopez,[],SAS,2.5,Blocks,
Brook Lopez,[],SAS,1.5,FTMade,
Malik Beasley,[],SAS,9.5,Points,
Malik Beasley,[],SAS,15.5,Pts+Rebs+Asts,
Malik Beasley,[],SAS,0.5,Blocks,Higher 2.5x
Victor Wembanyama,[],MIL,19.5,Points,
Victor Wembanyama,[],MIL,31.5,Pts+Rebs+Asts,
Victor Wembanyama,[],MIL,9.0,Rebounds,
Victor Wembanyama,[],MIL,11.5,Rebounds+Assists,
Victor Wembanyama,[],MIL,1.5,3-PointersMade,
Victor Wembanyama,[],MIL,22.5,Points+Assists,
Victor Wembanyama,[],MIL,28.5,Points+Rebounds,
Victor Wembanyama,[],MIL,42.25,FantasyPoints,
Victor Wembanyama,[],MIL,2.0,Blocks,
Keldon Johnson,[],MIL,19.5,Points,
Keldon Johnson,[],MIL,29.5,Pts+Rebs+Asts,
Keldon Johnson,[],MIL,6.0,Rebounds,
Keldon Johnson,[],MIL,9.5,Rebounds+Assists,
Keldon Johnson,[],MIL,2.5,3-PointersMade,Higher 1.25x
Keldon Johnson,[],MIL,25.5,Points+Rebounds,
Keldon Johnson,[],MIL,23.5,Points+Assists,
Keldon Johnson,[],MIL,1.5,Turnovers,
Keldon Johnson,[],MIL,0.5,Blocks,Higher 2.5x
Keldon Johnson,[],MIL,2.5,FTMade,
Devin Vassell,[],MIL,19.5,Points,
Devin Vassell,[],MIL,27.5,Pts+Rebs+Asts,
Devin Vassell,[],MIL,3.5,Assists,
