Name,Position,Opposing Team,Threshold,Type
Mason Rudolph,[],BAL,1.5,PassingTDs
Mason Rudolph,[],BAL,194.5,PassingYards
Mason Rudolph,[],BAL,0.5,FumblesLost
Najee Harris,[],BAL,58.5,RushingYards
Diontae Johnson,[],BAL,0.5,Rush+RecTDs
Diontae Johnson,[],BAL,37.5,ReceivingYards
George Pickens,[],BAL,0.5,Rush+RecTDs
George Pickens,[],BAL,51.5,ReceivingYards
Pat Freiermuth,[],BAL,0.5,Rush+RecTDs
Pat Freiermuth,[],BAL,26.5,ReceivingYards
Chris Boswell,[],BAL,1.5,FGMade
Chris Boswell,[],BAL,2.0,XPMade
Chris Boswell,[],BAL,6.5,KickingPoints
C.J. Stroud,[],IND,1.5,PassingTDs
C.J. Stroud,[],IND,257.5,PassingYards
C.J. Stroud,[],IND,8.5,RushingYards
C.J. Stroud,[],IND,0.5,FumblesLost
C.J. Stroud,[],IND,269.5,Pass+RushYards
Dameon Pierce,[],IND,0.5,Rush+RecTDs
Devin Singletary,[],IND,61.5,RushingYards
Devin Singletary,[],IND,80.5,Rush+RecYards
Nico Collins,[],IND,0.5,Rush+RecTDs
Nico Collins,[],IND,70.5,ReceivingYards
Nico Collins,[],IND,71.5,Rush+RecYards
Dalton Schultz,[],IND,0.5,Rush+RecTDs
Dalton Schultz,[],IND,42.5,ReceivingYards
Gardner Minshew II,[],HOU,240.5,PassingYards
Gardner Minshew II,[],HOU,5.5,RushingYards
Gardner Minshew II,[],HOU,0.5,Interceptions
Gardner Minshew II,[],HOU,0.5,FumblesLost
Gardner Minshew II,[],HOU,249.5,Pass+RushYards
Jonathan Taylor,[],HOU,71.5,RushingYards
Zack Moss,[],HOU,0.5,Rush+RecTDs
Michael Pittman Jr.,[],HOU,0.5,Rush+RecTDs
Michael Pittman Jr.,[],HOU,7.0,Receptions
Michael Pittman Jr.,[],HOU,79.5,ReceivingYards
Michael Pittman Jr.,[],HOU,79.5,Rush+RecYards
Alec Pierce,[],HOU,0.5,Rush+RecTDs
Alec Pierce,[],HOU,29.5,ReceivingYards
Alec Pierce,[],HOU,30.5,Rush+RecYards
Josh Downs,[],HOU,0.5,Rush+RecTDs
Josh Downs,[],HOU,38.5,ReceivingYards
Josh Downs,[],HOU,38.5,Rush+RecYards
Kylen Granson,[],HOU,0.5,Rush+RecTDs
Kylen Granson,[],HOU,23.5,ReceivingYards
Mo Alie-Cox,[],HOU,1.5,Receptions
Mo Alie-Cox,[],HOU,7.5,ReceivingYards
Matt Gay,[],HOU,1.5,FGMade
Matt Gay,[],HOU,2.5,XPMade
Matt Gay,[],HOU,7.0,KickingPoints
DeForest Buckner,[],HOU,0.5,Sacks
E.J. Speed,[],HOU,5.0,SoloTackles
E.J. Speed,[],HOU,8.0,Tackles+Assists
Zaire Franklin,[],HOU,3.0,Assists
Zaire Franklin,[],HOU,9.5,Tackles+Assists
Zaire Franklin,[],HOU,6.5,SoloTackles
Kwity Paye,[],HOU,0.5,Sacks
Baker Mayfield,[],CAR,231.5,PassingYards
Rachaad White,[],CAR,75.5,RushingYards
Mike Evans,[],CAR,70.5,ReceivingYards
Bijan Robinson,[],NO,0.5,Rush+RecTDs
Bijan Robinson,[],NO,67.5,RushingYards
Tyler Allgeier,[],NO,0.5,Rush+RecTDs
Drake London,[],NO,0.5,Rush+RecTDs
Kyle Pitts,[],NO,0.5,Rush+RecTDs
Jonnu Smith,[],NO,0.5,Rush+RecTDs
Younghoe Koo,[],NO,1.5,FGMade
Younghoe Koo,[],NO,6.5,KickingPoints
Calais Campbell,[],NO,3.5,Tackles+Assists
Kaden Elliss,[],NO,5.5,SoloTackles
Kaden Elliss,[],NO,2.5,Assists
Kaden Elliss,[],NO,8.0,Tackles+Assists
Derek Carr,[],ATL,231.5,PassingYards
Chris Olave,[],ATL,0.5,Rush+RecTDs
Chris Olave,[],ATL,73.5,ReceivingYards
Chris Olave,[],ATL,73.5,Rush+RecYards
Rashid Shaheed,[],ATL,0.5,Rush+RecTDs
Rashid Shaheed,[],ATL,3.0,Receptions
Rashid Shaheed,[],ATL,36.5,ReceivingYards
Rashid Shaheed,[],ATL,39.5,Rush+RecYards
Blake Grupe,[],ATL,1.5,FGMade
Blake Grupe,[],ATL,6.5,KickingPoints
Demario Davis,[],ATL,4.0,SoloTackles
Demario Davis,[],ATL,2.5,Assists
Demario Davis,[],ATL,7.0,Tackles+Assists
Demario Davis,[],ATL,0.5,Sacks
Tyrann Mathieu,[],ATL,3.0,SoloTackles
Tyrann Mathieu,[],ATL,1.5,Assists
Tyrann Mathieu,[],ATL,4.5,Tackles+Assists
Pete Werner,[],ATL,4.0,SoloTackles
Pete Werner,[],ATL,2.5,Assists
Pete Werner,[],ATL,6.5,Tackles+Assists
