Name,Position,Opposing Team,Threshold,Type
Russell Wilson,QB,NE,214.5,Pass Yards
Russell Wilson,QB,NE,249.5,Pass Yards
Bailey Zappe,QB,DEN,181.5,Pass Yards
Bailey Zappe,QB,DEN,224.5,Pass Yards
Russell Wilson,QB,NE,214.5,Pass Yards
Russell Wilson,QB,NE,174.5,Pass Yards
Bailey Zappe,QB,DEN,149.5,Pass Yards
Aidan O'Connell,QB,KC,205.5,Pass Yards
Patrick Mahomes,QB,LV,299.5,Pass Yards
Patrick Mahomes,QB,LV,269.5,Pass Yards
Aidan O'Connell,QB,KC,249.5,Pass Yards
Aidan O'Connell,QB,KC,174.5,Pass Yards
Patrick Mahomes,QB,LV,224.5,Pass Yards
Tommy DeVito,QB,PHI,185.5,Pass Yards
Jalen Hurts,QB,NYG,274.5,Pass Yards
Jalen Hurts,QB,NYG,230.5,Pass Yards
Tommy DeVito,QB,PHI,224.5,Pass Yards
Jalen Hurts,QB,NYG,199.5,Pass Yards
Tommy DeVito,QB,PHI,149.5,Pass Yards
Brock Purdy,QB,BAL,299.5,Pass Yards
Lamar Jackson,QB,SF,220.5,Pass Yards
Lamar Jackson,QB,SF,249.5,Pass Yards
Brock Purdy,QB,BAL,254.5,Pass Yards
Brock Purdy,QB,BAL,224.5,Pass Yards
Lamar Jackson,QB,SF,199.5,Pass Yards
Hunter Renfrow,WR,KC,20.5,Receiving Yards
Courtland Sutton,WR,NE,79.5,Receiving Yards
Jerry Jeudy,WR,NE,59.5,Receiving Yards
Ezekiel Elliott,RB,DEN,29.5,Receiving Yards
Javonte Williams,RB,NE,17.5,Receiving Yards
DeVante Parker,WR,DEN,59.5,Receiving Yards
Samaje Perine,RB,NE,14.5,Receiving Yards
Courtland Sutton,WR,NE,39.5,Receiving Yards
Ezekiel Elliott,RB,DEN,49.5,Receiving Yards
Demario Douglas,WR,DEN,48.5,Receiving Yards
Courtland Sutton,WR,NE,48.5,Receiving Yards
DeVante Parker,WR,DEN,35.5,Receiving Yards
Jerry Jeudy,WR,NE,39.5,Receiving Yards
Jerry Jeudy,WR,NE,24.5,Receiving Yards
DeVante Parker,WR,DEN,24.5,Receiving Yards
Jalen Reagor,WR,DEN,10.5,Receiving Yards
Lil'Jordan Humphrey,WR,NE,10.5,Receiving Yards
Marvin Mims Jr.,WR,NE,14.5,Receiving Yards
Tyquan Thornton,WR,DEN,5.5,Receiving Yards
Pharaoh Brown,TE,DEN,7.5,Receiving Yards
Mike Gesicki,TE,DEN,20.5,Receiving Yards
Adam Trautman,TE,NE,9.5,Receiving Yards
Lucas Krull,TE,NE,9.5,Receiving Yards
Davante Adams,WR,KC,89.5,Receiving Yards
Rashee Rice,WR,LV,89.5,Receiving Yards
Travis Kelce,TE,LV,89.5,Receiving Yards
Isiah Pacheco,RB,LV,24.5,Receiving Yards
Jakobi Meyers,WR,KC,59.5,Receiving Yards
Rashee Rice,WR,LV,49.5,Receiving Yards
Davante Adams,WR,KC,49.5,Receiving Yards
Hunter Renfrow,WR,KC,39.5,Receiving Yards
Jakobi Meyers,WR,KC,24.5,Receiving Yards
Travis Kelce,TE,LV,49.5,Receiving Yards
Davante Adams,WR,KC,67.5,Receiving Yards
Rashee Rice,WR,LV,67.5,Receiving Yards
Justin Watson,WR,LV,18.5,Receiving Yards
Jakobi Meyers,WR,KC,38.5,Receiving Yards
Marquez Valdes-Scantling,WR,LV,20.5,Receiving Yards
Travis Kelce,TE,LV,66.5,Receiving Yards
Noah Gray,TE,LV,12.5,Receiving Yards
A.J. Brown,WR,NYG,99.5,Receiving Yards
D'Andre Swift,RB,NYG,13.5,Receiving Yards
Saquon Barkley,RB,PHI,19.5,Receiving Yards
A.J. Brown,WR,NYG,49.5,Receiving Yards
Dallas Goedert,TE,NYG,59.5,Receiving Yards
DeVonta Smith,WR,NYG,79.5,Receiving Yards
Darren Waller,TE,PHI,49.5,Receiving Yards
Darren Waller,TE,PHI,59.5,Receiving Yards
Darius Slayton,WR,PHI,49.5,Receiving Yards
Darius Slayton,WR,PHI,27.5,Receiving Yards
A.J. Brown,WR,NYG,78.5,Receiving Yards
Jalin Hyatt,WR,PHI,18.5,Receiving Yards
Darius Slayton,WR,PHI,39.5,Receiving Yards
DeVonta Smith,WR,NYG,54.5,Receiving Yards
DeVonta Smith,WR,NYG,39.5,Receiving Yards
Wan'Dale Robinson,WR,PHI,30.5,Receiving Yards
Wan'Dale Robinson,WR,PHI,49.5,Receiving Yards
Dallas Goedert,TE,NYG,24.5,Receiving Yards
Darren Waller,TE,PHI,24.5,Receiving Yards
Dallas Goedert,TE,NYG,40.5,Receiving Yards
Darren Waller,TE,PHI,36.5,Receiving Yards
Daniel Bellinger,TE,PHI,8.5,Receiving Yards
Kenny Gainwell,RB,NYG,7.5,Receiving Yards
Brandon Aiyuk,WR,BAL,89.5,Receiving Yards
Deebo Samuel,WR,BAL,89.5,Receiving Yards
George Kittle,TE,BAL,69.5,Receiving Yards
Zay Flowers,WR,SF,69.5,Receiving Yards
Christian McCaffrey,RB,BAL,31.5,Receiving Yards
Christian McCaffrey,RB,BAL,24.5,Receiving Yards
Christian McCaffrey,RB,BAL,49.5,Receiving Yards
Deebo Samuel,WR,BAL,49.5,Receiving Yards
Isaiah Likely,TE,SF,49.5,Receiving Yards
Isaiah Likely,TE,SF,24.5,Receiving Yards
Odell Beckham Jr,WR,SF,59.5,Receiving Yards
Zay Flowers,WR,SF,46.5,Receiving Yards
Deebo Samuel,WR,BAL,39.5,Receiving Yards
Brandon Aiyuk,WR,BAL,64.5,Receiving Yards
Brandon Aiyuk,WR,BAL,39.5,Receiving Yards
Nelson Agholor,WR,SF,15.5,Receiving Yards
Deebo Samuel,WR,BAL,59.5,Receiving Yards
Odell Beckham Jr,WR,SF,24.5,Receiving Yards
Odell Beckham Jr,WR,SF,40.5,Receiving Yards
Rashod Bateman,WR,SF,24.5,Receiving Yards
Isaiah Likely,TE,SF,38.5,Receiving Yards
George Kittle,TE,BAL,48.5,Receiving Yards
Travis Kelce,TE,LV,0.5,Rush+Rec TDs
Christian McCaffrey,RB,BAL,0.5,Rush+Rec TDs
Christian McCaffrey,RB,BAL,1.5,Rush+Rec TDs
Jalen Hurts,QB,NYG,1.5,Rush+Rec TDs
Jalen Hurts,QB,NYG,0.5,Rush+Rec TDs
Courtland Sutton,WR,NE,0.5,Rush+Rec TDs
Ezekiel Elliott,RB,DEN,0.5,Rush+Rec TDs
Javonte Williams,RB,NE,0.5,Rush+Rec TDs
Jerry Jeudy,WR,NE,0.5,Rush+Rec TDs
Davante Adams,WR,KC,0.5,Rush+Rec TDs
Josh Jacobs,RB,KC,0.5,Rush+Rec TDs
Jakobi Meyers,WR,KC,0.5,Rush+Rec TDs
Rashee Rice,WR,LV,0.5,Rush+Rec TDs
Isiah Pacheco,RB,LV,0.5,Rush+Rec TDs
DeVonta Smith,WR,NYG,0.5,Rush+Rec TDs
Darren Waller,TE,PHI,0.5,Rush+Rec TDs
Dallas Goedert,TE,NYG,0.5,Rush+Rec TDs
D'Andre Swift,RB,NYG,0.5,Rush+Rec TDs
A.J. Brown,WR,NYG,0.5,Rush+Rec TDs
Saquon Barkley,RB,PHI,0.5,Rush+Rec TDs
Brandon Aiyuk,WR,BAL,0.5,Rush+Rec TDs
Deebo Samuel,WR,BAL,0.5,Rush+Rec TDs
George Kittle,TE,BAL,0.5,Rush+Rec TDs
Gus Edwards,RB,SF,0.5,Rush+Rec TDs
Isaiah Likely,TE,SF,0.5,Rush+Rec TDs
Lamar Jackson,QB,SF,0.5,Rush+Rec TDs
Odell Beckham Jr,WR,SF,0.5,Rush+Rec TDs
Zay Flowers,WR,SF,0.5,Rush+Rec TDs
Javonte Williams,RB,NE,79.5,Rush Yards
Ezekiel Elliott,RB,DEN,89.5,Rush Yards
Javonte Williams,RB,NE,54.5,Rush Yards
Russell Wilson,QB,NE,21.5,Rush Yards
Ezekiel Elliott,RB,DEN,66.5,Rush Yards
Jaleel McLaughlin,RB,NE,13.5,Rush Yards
Javonte Williams,RB,NE,39.5,Rush Yards
Ezekiel Elliott,RB,DEN,49.5,Rush Yards
Bailey Zappe,QB,DEN,5.5,Rush Yards
Isiah Pacheco,RB,LV,89.5,Rush Yards
Patrick Mahomes,QB,LV,18.5,Rush Yards
Isiah Pacheco,RB,LV,66.5,Rush Yards
Isiah Pacheco,RB,LV,49.5,Rush Yards
Tommy DeVito,QB,PHI,27.5,Rush Yards
Saquon Barkley,RB,PHI,79.5,Rush Yards
Jalen Hurts,QB,NYG,40.5,Rush Yards
D'Andre Swift,RB,NYG,64.5,Rush Yards
D'Andre Swift,RB,NYG,89.5,Rush Yards
Jalen Hurts,QB,NYG,59.5,Rush Yards
Saquon Barkley,RB,PHI,54.5,Rush Yards
Kenny Gainwell,RB,NYG,20.5,Rush Yards
Saquon Barkley,RB,PHI,39.5,Rush Yards
Tommy DeVito,QB,PHI,39.5,Rush Yards
D'Andre Swift,RB,NYG,49.5,Rush Yards
Lamar Jackson,QB,SF,59.5,Rush Yards
Christian McCaffrey,RB,BAL,99.5,Rush Yards
Lamar Jackson,QB,SF,79.5,Rush Yards
Christian McCaffrey,RB,BAL,59.5,Rush Yards
Christian McCaffrey,RB,BAL,84.5,Rush Yards
Gus Edwards,RB,SF,59.5,Rush Yards
Gus Edwards,RB,SF,39.5,Rush Yards
Lamar Jackson,QB,SF,39.5,Rush Yards
Deebo Samuel,WR,BAL,11.5,Rush Yards
Brock Purdy,QB,BAL,6.5,Rush Yards
Bailey Zappe,QB,DEN,11.5,Fantasy Score
Russell Wilson,QB,NE,15.5,Fantasy Score
Ezekiel Elliott,RB,DEN,16.5,Fantasy Score
Javonte Williams,RB,NE,12.5,Fantasy Score
DeVante Parker,WR,DEN,8.5,Fantasy Score
Courtland Sutton,WR,NE,11.0,Fantasy Score
Demario Douglas,WR,DEN,11.0,Fantasy Score
Jerry Jeudy,WR,NE,9.0,Fantasy Score
Marvin Mims Jr.,WR,NE,3.0,Fantasy Score
Chad Ryland, K,DEN,5.5,Fantasy Score
Wil Lutz, K,NE,7.5,Fantasy Score
Tommy DeVito,QB,PHI,13.0,Fantasy Score
Jalen Hurts,QB,NYG,23.0,Fantasy Score
Saquon Barkley,RB,PHI,13.0,Fantasy Score
D'Andre Swift,RB,NYG,13.0,Fantasy Score
Jalin Hyatt,WR,PHI,4.5,Fantasy Score
Kenny Gainwell,RB,NYG,5.5,Fantasy Score
Wan'Dale Robinson,WR,PHI,8.0,Fantasy Score
A.J. Brown,WR,NYG,17.0,Fantasy Score
Darius Slayton,WR,PHI,6.0,Fantasy Score
Dallas Goedert,TE,NYG,10.0,Fantasy Score
Darren Waller,TE,PHI,8.5,Fantasy Score
Jake Elliott, K,NYG,8.5,Fantasy Score
Mason Crosby, K,PHI,5.5,Fantasy Score
Lamar Jackson,QB,SF,22.0,Fantasy Score
Brock Purdy,QB,BAL,17.0,Fantasy Score
Gus Edwards,RB,SF,7.5,Fantasy Score
Christian McCaffrey,RB,BAL,21.5,Fantasy Score
Zay Flowers,WR,SF,10.5,Fantasy Score
Brandon Aiyuk,WR,BAL,13.5,Fantasy Score
Odell Beckham Jr,WR,SF,8.5,Fantasy Score
Deebo Samuel,WR,BAL,15.5,Fantasy Score
George Kittle,TE,BAL,11.0,Fantasy Score
Isaiah Likely,TE,SF,9.0,Fantasy Score
Jake Moody, K,BAL,8.5,Fantasy Score
Justin Tucker, K,SF,7.5,Fantasy Score
Bailey Zappe,QB,DEN,1.5,Pass TDs
Russell Wilson,QB,NE,1.5,Pass TDs
Patrick Mahomes,QB,LV,2.5,Pass TDs
Tommy DeVito,QB,PHI,1.5,Pass TDs
Patrick Mahomes,QB,LV,1.5,Pass TDs
Brock Purdy,QB,BAL,1.5,Pass TDs
Brock Purdy,QB,BAL,2.5,Pass TDs
Lamar Jackson,QB,SF,1.5,Pass TDs
Wil Lutz, K,NE,2.5,FG Made
Chad Ryland, K,DEN,1.5,FG Made
Wil Lutz, K,NE,1.5,FG Made
Chad Ryland, K,DEN,0.5,FG Made
Harrison Butker, K,LV,1.5,FG Made
Jake Elliott, K,NYG,1.5,FG Made
Jake Moody, K,BAL,1.5,FG Made
Justin Tucker, K,SF,1.5,FG Made
Daniel Carlson, K,KC,1.5,FG Made
Riley Dixon, P,NE,1.5,Punts Inside 20
Bryce Baringer, P,DEN,2.0,Punts Inside 20
Tommy Townsend, P,LV,1.0,Punts Inside 20
A.J. Cole, P,KC,1.5,Punts Inside 20
Braden Mann, P,NYG,1.5,Punts Inside 20
Jamie Gillan, P,PHI,2.0,Punts Inside 20
Jordan Stout, P,SF,1.5,Punts Inside 20
Mitch Wishnowsky, P,BAL,1.5,Punts Inside 20
Ezekiel Elliott,RB,DEN,99.5,Rush+Rec Yds
Javonte Williams,RB,NE,75.5,Rush+Rec Yds
Samaje Perine,RB,NE,22.5,Rush+Rec Yds
Isiah Pacheco,RB,LV,95.5,Rush+Rec Yds
D'Andre Swift,RB,NYG,81.5,Rush+Rec Yds
Saquon Barkley,RB,PHI,79.5,Rush+Rec Yds
Kenny Gainwell,RB,NYG,32.5,Rush+Rec Yds
